机组序号	所在节点	最大出力(MW)	最小出力(MW)	上爬坡率(MW/h)	下爬坡率 (MW/h)	最小开机时间(h)	最小停机时间(h)	启动成本（元）	"初始状态(1开机,0停机)"	初始出力(MW)	初始状态持续时间(h)
63             142             30             12             1000             1000             1             1             340             0             0             1
64             143             300             120             1000             1000             8             8             9000             0             1             15
65             144             350             140             1000             1000             8             8             10000             0             1             16
66             145             30             12             1000             1000             1             1             340             0             0             1
67             149             30             12             1000             1000             1             1             340             0             0             1
68             150             100             40             1000             1000             5             5             1120             0             0             5
69             152             30             12             1000             1000             1             1             1800             0             0             1
70             154             100             40             1000             1000             5             5             4800             0             0             5
71             158             30             12             1000             1000             1             1             340             0             0             1
72             160             30             12             1000             1000             1             1             340             0             0             1
73             164             100             40             1000             1000             5             5             4800             0             0             5
74             167             250             100             1000             1000             10             10             9000             0             1             10
75             172             250             100             1000             1000             10             10             10000             0             0             10
76             173             100             40             1000             1000             5             5             4800             0             0             5
77             174             100             40             1000             1000             5             5             4800             0             0             5
78             177             200             80             1000             1000             10             10             9000             0             0             10
79             179             200             80             1000             1000             10             10             10000             0             0             10
80             180             100             40             1000             1000             5             5             4800             0             0             5
81             183             420             168             1000             1000             10             10             9000             0             1             20
82             184             420             168             1000             1000             10             10             10000             0             1             20
83             187             300             120             1000             1000             10             10             9000             0             0             15
84             188             80             32             1000             1000             4             4             4800             0             0             4
85             190             30             12             1000             1000             1             1             340             0             0             1
86             191             30             12             1000             1000             1             1             340             0             0             1
87             192             20             8             1000             1000             1             1             340             0             0             1
88             194             100             40             1000             1000             5             5             3800             0             0             5
89             195             100             40             1000             1000             5             5             3800             0             1             5
90             198             500             200             1000             1000             10             10             10000             0             1             24
91             200             100             40             1000             1000             5             5             3800             0             0             5
92             203             30             12             1000             1000             1             1             340             0             0             1
93             205             650             260             1000             1000             10             10             10000             0             1             24
94             207             500             200             1000             1000             10             10             10000             0             1             24
95             208             20             8             1000             1000             1             1             340             0             0             1
96             209             50             20             1000             1000             1             1             340             0             0             1
97             210             300             120             1000             1000             8             8             1120             0             1             15
98             217             300             120             1000             1000             8             8             1800             0             1             15
99             218             300             120             1000             1000             8             8             1800             0             1             15
100             221             20             8             1000             1000             1             1             340             0             0             1
101             222             100             40             1000             1000             5             5             3800             0             0             5
102             223             100             40             1000             1000             5             5             3800             0             0             5
103             225             20             8             1000             1000             1             1             340             0             0             1
104             228             50             20             1000             1000             2             2             60             0             0             2
105             229             100             40             1000             1000             5             5             3800             0             0             5
106             230             100             40             1000             1000             5             5             3800             0             0             5
107             231             100             40             1000             1000             5             5             3800             0             0             5
108             234             100             40             1000             1000             2             2             60             0             0             2
109             240             30             12             1000             1000             1             1             60             1             0             1
110             242             30             12             1000             1000             1             1             60             1             0             1
111             244             30             12             1000             1000             1             1             60             0             0             1
112             246             500             200             1000             1000             10             10             9000             0             1             24
113             248             300             120             1000             1000             10             10             10000             0             1             24
114             251             30             12             1000             1000             1             1             340             0             0             1
115             254             100             40             1000             1000             5             5             520             0             0             5
116             255             30             12             1000             1000             1             1             340             0             0             1
117             260             30             12             1000             1000             1             1             340             0             0             1
118             261             300             120             1000             1000             8             8             9000             0             1             15
119             262             350             140             1000             1000             8             8             10000             0             1             16
120             263             30             12             1000             1000             1             1             340             0             0             1
121             267             30             12             1000             1000             1             1             340             0             0             1
122             268             100             40             1000             1000             5             5             1120             0             0             5
123             270             30             12             1000             1000             1             1             1800             0             0             1
124             272             100             40             1000             1000             5             5             4800             0             0             5
125             276             30             12             1000             1000             1             1             340             0             0             1
126             278             30             12             1000             1000             1             1             340             0             0             1
127             282             100             40             1000             1000             5             5             4800             0             0             5
128             285             250             100             1000             1000             10             10             9000             0             1             10
129             290             250             100             1000             1000             10             10             10000             0             0             10
130             291             100             40             1000             1000             5             5             4800             0             0             5
131             292             100             40             1000             1000             5             5             4800             0             0             5
132             295             200             80             1000             1000             10             10             9000             0             0             10
133             297             200             80             1000             1000             10             10             10000             0             0             10
134             298             100             40             1000             1000             5             5             4800             0             0             5
135             301             420             168             1000             1000             10             10             9000             0             1             20
136             302             420             168             1000             1000             10             10             10000             0             1             20
137             305             300             120             1000             1000             10             10             9000             0             0             15
138             306             80             32             1000             1000             4             4             4800             0             0             4
139             308             30             12             1000             1000             1             1             340             0             0             1
140             309             30             12             1000             1000             1             1             340             0             0             1
141             310             20             8             1000             1000             1             1             340             0             0             1
142             312             100             40             1000             1000             5             5             3800             0             0             5
143             313             100             40             1000             1000             5             5             3800             0             1             5
144             316             500             200             1000             1000             10             10             10000             0             1             24
145             318             100             40             1000             1000             5             5             3800             0             0             5
146             321             30             12             1000             1000             1             1             340             0             0             1
147             323             650             260             1000             1000             10             10             10000             0             1             24
148             325             500             200             1000             1000             10             10             10000             0             1             24
149             326             20             8             1000             1000             1             1             340             0             0             1
150             327             50             20             1000             1000             1             1             340             0             0             1
151             328             300             120             1000             1000             8             8             1120             0             1             15
152             335             300             120             1000             1000             8             8             1800             0             1             15
153             336             300             120             1000             1000             8             8             1800             0             1             15
154             339             20             8             1000             1000             1             1             340             0             0             1
155             340             100             40             1000             1000             5             5             3800             0             0             5
156             341             100             40             1000             1000             5             5             3800             0             0             5
157             343             20             8             1000             1000             1             1             340             0             0             1
158             346             50             20             1000             1000             2             2             60             0             0             2
159             347             100             40             1000             1000             5             5             3800             0             0             5
160             348             100             40             1000             1000             5             5             3800             0             0             5
161             349             100             40             1000             1000             5             5             3800             0             0             5
162             352             100             40             1000             1000             2             2             60             0             0             2
163             358             30             12             1000             1000             1             1             60             1             0             1
164             360             30             12             1000             1000             1             1             60             1             0             1
165             362             30             12             1000             1000             1             1             60             0             0             1
166             364             500             200             1000             1000             10             10             9000             0             1             24
167             366             300             120             1000             1000             10             10             10000             0             1             24
168             369             30             12             1000             1000             1             1             340             0             0             1
169             372             100             40             1000             1000             5             5             520             0             0             5
170             373             30             12             1000             1000             1             1             340             0             0             1
171             378             30             12             1000             1000             1             1             340             0             0             1
172             379             300             120             1000             1000             8             8             9000             0             1             15
173             380             350             140             1000             1000             8             8             10000             0             1             16
174             381             30             12             1000             1000             1             1             340             0             0             1
175             385             30             12             1000             1000             1             1             340             0             0             1
176             386             100             40             1000             1000             5             5             1120             0             0             5
177             388             30             12             1000             1000             1             1             1800             0             0             1
178             390             100             40             1000             1000             5             5             4800             0             0             5
179             394             30             12             1000             1000             1             1             340             0             0             1
180             396             30             12             1000             1000             1             1             340             0             0             1
181             400             100             40             1000             1000             5             5             4800             0             0             5
182             403             250             100             1000             1000             10             10             9000             0             1             10
183             408             250             100             1000             1000             10             10             10000             0             0             10
184             409             100             40             1000             1000             5             5             4800             0             0             5
185             410             100             40             1000             1000             5             5             4800             0             0             5
186             413             200             80             1000             1000             10             10             9000             0             0             10
187             415             200             80             1000             1000             10             10             10000             0             0             10
188             416             100             40             1000             1000             5             5             4800             0             0             5
189             419             420             168             1000             1000             10             10             9000             0             1             20
190             420             420             168             1000             1000             10             10             10000             0             1             20
191             423             300             120             1000             1000             10             10             9000             0             0             15
192             424             80             32             1000             1000             4             4             4800             0             0             4
193             426             30             12             1000             1000             1             1             340             0             0             1
194             427             30             12             1000             1000             1             1             340             0             0             1
195             428             20             8             1000             1000             1             1             340             0             0             1
196             430             100             40             1000             1000             5             5             3800             0             0             5
197             431             100             40             1000             1000             5             5             3800             0             1             5
198             434             500             200             1000             1000             10             10             10000             0             1             24
199             436             100             40             1000             1000             5             5             3800             0             0             5
200             439             30             12             1000             1000             1             1             340             0             0             1
201             441             650             260             1000             1000             10             10             10000             0             1             24
202             443             500             200             1000             1000             10             10             10000             0             1             24
203             444             20             8             1000             1000             1             1             340             0             0             1
204             445             50             20             1000             1000             1             1             340             0             0             1
205             446             300             120             1000             1000             8             8             1120             0             1             15
206             453             300             120             1000             1000             8             8             1800             0             1             15
207             454             300             120             1000             1000             8             8             1800             0             1             15
208             457             20             8             1000             1000             1             1             340             0             0             1
209             458             100             40             1000             1000             5             5             3800             0             0             5
210             459             100             40             1000             1000             5             5             3800             0             0             5
211             461             20             8             1000             1000             1             1             340             0             0             1
212             464             50             20             1000             1000             2             2             60             0             0             2
213             465             100             40             1000             1000             5             5             3800             0             0             5
214             466             100             40             1000             1000             5             5             3800             0             0             5
215             467             100             40             1000             1000             5             5             3800             0             0             5
216             470             100             40             1000             1000             2             2             60             0             0             2
217             476             30             12             1000             1000             1             1             60             1             0             1
218             478             30             12             1000             1000             1             1             60             1             0             1
219             480             30             12             1000             1000             1             1             60             0             0             1
220             482             500             200             1000             1000             10             10             9000             0             1             24
221             484             300             120             1000             1000             10             10             10000             0             1             24
222             487             30             12             1000             1000             1             1             340             0             0             1
223             490             100             40             1000             1000             5             5             520             0             0             5
224             491             30             12             1000             1000             1             1             340             0             0             1
225             496             30             12             1000             1000             1             1             340             0             0             1
226             497             300             120             1000             1000             8             8             9000             0             1             15
227             498             350             140             1000             1000             8             8             10000             0             1             16
228             499             30             12             1000             1000             1             1             340             0             0             1
229             503             30             12             1000             1000             1             1             340             0             0             1
230             504             100             40             1000             1000             5             5             1120             0             0             5
231             506             30             12             1000             1000             1             1             1800             0             0             1
232             508             100             40             1000             1000             5             5             4800             0             0             5
233             512             30             12             1000             1000             1             1             340             0             0             1
234             514             30             12             1000             1000             1             1             340             0             0             1
235             518             100             40             1000             1000             5             5             4800             0             0             5
236             521             250             100             1000             1000             10             10             9000             0             1             10
237             526             250             100             1000             1000             10             10             10000             0             0             10
238             527             100             40             1000             1000             5             5             4800             0             0             5
239             528             100             40             1000             1000             5             5             4800             0             0             5
240             531             200             80             1000             1000             10             10             9000             0             0             10
241             533             200             80             1000             1000             10             10             10000             0             0             10
242             534             100             40             1000             1000             5             5             4800             0             0             5
243             537             420             168             1000             1000             10             10             9000             0             1             20
244             538             420             168             1000             1000             10             10             10000             0             1             20
245             541             300             120             1000             1000             10             10             9000             0             0             15
246             542             80             32             1000             1000             4             4             4800             0             0             4
247             544             30             12             1000             1000             1             1             340             0             0             1
248             545             30             12             1000             1000             1             1             340             0             0             1
249             546             20             8             1000             1000             1             1             340             0             0             1
250             548             100             40             1000             1000             5             5             3800             0             0             5
251             549             100             40             1000             1000             5             5             3800             0             1             5
252             552             500             200             1000             1000             10             10             10000             0             1             24
253             554             100             40             1000             1000             5             5             3800             0             0             5
254             557             30             12             1000             1000             1             1             340             0             0             1
255             559             650             260             1000             1000             10             10             10000             0             1             24
256             561             500             200             1000             1000             10             10             10000             0             1             24
257             562             20             8             1000             1000             1             1             340             0             0             1
258             563             50             20             1000             1000             1             1             340             0             0             1
259             564             300             120             1000             1000             8             8             1120             0             1             15
260             571             300             120             1000             1000             8             8             1800             0             1             15
261             572             300             120             1000             1000             8             8             1800             0             1             15
