机组序号	第一段功率(MW)	第二段功率(MW)	第三段功率(MW)	第四段功率(MW)	第五段功率(MW)
498              22              22              22              22              22
499              27.4              27.4              27.4              27.4              27.4
500              12              12              12              12              12
501              12              12              12              12              12
502              9              9              9              9              9
503              9              9              9              9              9
504              9              9              9              9              9
505              61              61              61              61              61
506              61              61              61              61              61
507              22              22              22              22              22
508              22              22              22              22              22
509              27.4              27.4              27.4              27.4              27.4
510              12              12              12              12              12
511              12              12              12              12              12
512              9              9              9              9              9
513              9              9              9              9              9
514              9              9              9              9              9
515              61              61              61              61              61
516              61              61              61              61              61
517              22              22              22              22              22
518              22              22              22              22              22
519              27.4              27.4              27.4              27.4              27.4
520              12              12              12              12              12
521              12              12              12              12              12
522              9              9              9              9              9
523              9              9              9              9              9
524              9              9              9              9              9
525              61              61              61              61              61
526              61              61              61              61              61
527              22              22              22              22              22
528              22              22              22              22              22
529              27.4              27.4              27.4              27.4              27.4
530              12              12              12              12              12
531              12              12              12              12              12
532              9              9              9              9              9
533              9              9              9              9              9
534              9              9              9              9              9
535              61              61              61              61              61
536              61              61              61              61              61
537              22              22              22              22              22
538              22              22              22              22              22
539              27.4              27.4              27.4              27.4              27.4
540              12              12              12              12              12
541              12              12              12              12              12
542              9              9              9              9              9
543              9              9              9              9              9
544              9              9              9              9              9
545              61              61              61              61              61
546              61              61              61              61              61
547              22              22              22              22              22
548              22              22              22              22              22
549              27.4              27.4              27.4              27.4              27.4
550              12              12              12              12              12
551              12              12              12              12              12
552              9              9              9              9              9
553              9              9              9              9              9
554              9              9              9              9              9
555              61              61              61              61              61
556              61              61              61              61              61
557              22              22              22              22              22
558              22              22              22              22              22
559              27.4              27.4              27.4              27.4              27.4
560              12              12              12              12              12
561              12              12              12              12              12
562              9              9              9              9              9
563              9              9              9              9              9
564              9              9              9              9              9
565              61              61              61              61              61
566              61              61              61              61              61
567              22              22              22              22              22
568              22              22              22              22              22
569              27.4              27.4              27.4              27.4              27.4
570              12              12              12              12              12
571              12              12              12              12              12
572              9              9              9              9              9
573              9              9              9              9              9
574              9              9              9              9              9
575              61              61              61              61              61
576              61              61              61              61              61
577              22              22              22              22              22
578              22              22              22              22              22
579              27.4              27.4              27.4              27.4              27.4
580              12              12              12              12              12
581              12              12              12              12              12
582              9              9              9              9              9
583              9              9              9              9              9
584              9              9              9              9              9
585              61              61              61              61              61
586              61              61              61              61              61
587              22              22              22              22              22
588              22              22              22              22              22
589              27.4              27.4              27.4              27.4              27.4
590              12              12              12              12              12
591              12              12              12              12              12
592              9              9              9              9              9
593              9              9              9              9              9
594              9              9              9              9              9
595              61              61              61              61              61
596              61              61              61              61              61
597              22              22              22              22              22
598              22              22              22              22              22
599              27.4              27.4              27.4              27.4              27.4
600              12              12              12              12              12
601              12              12              12              12              12
602              9              9              9              9              9
603              9              9              9              9              9
604              9              9              9              9              9
605              61              61              61              61              61
606              61              61              61              61              61
607              22              22              22              22              22
608              22              22              22              22              22
609              27.4              27.4              27.4              27.4              27.4
610              12              12              12              12              12
611              12              12              12              12              12
612              9              9              9              9              9
613              9              9              9              9              9
614              9              9              9              9              9
615              61              61              61              61              61
616              61              61              61              61              61
617              22              22              22              22              22
618              22              22              22              22              22
619              27.4              27.4              27.4              27.4              27.4
620              12              12              12              12              12
621              12              12              12              12              12
622              9              9              9              9              9
623              9              9              9              9              9
624              9              9              9              9              9
625              61              61              61              61              61
626              61              61              61              61              61
627              22              22              22              22              22
628              22              22              22              22              22
629              27.4              27.4              27.4              27.4              27.4
630              12              12              12              12              12
631              12              12              12              12              12
632              9              9              9              9              9
633              9              9              9              9              9
634              9              9              9              9              9
635              61              61              61              61              61
636              61              61              61              61              61
637              22              22              22              22              22
638              22              22              22              22              22
639              27.4              27.4              27.4              27.4              27.4
640              12              12              12              12              12
641              12              12              12              12              12
642              9              9              9              9              9
643              9              9              9              9              9
644              9              9              9              9              9
645              61              61              61              61              61
646              61              61              61              61              61
647              22              22              22              22              22
648              22              22              22              22              22
649              27.4              27.4              27.4              27.4              27.4
650              12              12              12              12              12
651              12              12              12              12              12
652              9              9              9              9              9
653              9              9              9              9              9
654              9              9              9              9              9
655              61              61              61              61              61
656              61              61              61              61              61
657              22              22              22              22              22
658              22              22              22              22              22
659              27.4              27.4              27.4              27.4              27.4
660              12              12              12              12              12
661              12              12              12              12              12
662              9              9              9              9              9
663              9              9              9              9              9
664              9              9              9              9              9
665              61              61              61              61              61
666              61              61              61              61              61
667              22              22              22              22              22
668              22              22              22              22              22
669              27.4              27.4              27.4              27.4              27.4
670              12              12              12              12              12
671              12              12              12              12              12
672              9              9              9              9              9
673              9              9              9              9              9
674              9              9              9              9              9
675              61              61              61              61              61
676              61              61              61              61              61
677              22              22              22              22              22
678              22              22              22              22              22
679              27.4              27.4              27.4              27.4              27.4
680              12              12              12              12              12
681              12              12              12              12              12
682              9              9              9              9              9
683              9              9              9              9              9
684              9              9              9              9              9
685              61              61              61              61              61
686              61              61              61              61              61
687              22              22              22              22              22
688              22              22              22              22              22
689              27.4              27.4              27.4              27.4              27.4
690              12              12              12              12              12
691              12              12              12              12              12
692              9              9              9              9              9
693              9              9              9              9              9
694              9              9              9              9              9
695              61              61              61              61              61
696              61              61              61              61              61
697              22              22              22              22              22
698              22              22              22              22              22
699              27.4              27.4              27.4              27.4              27.4
700              12              12              12              12              12
701              12              12              12              12              12
702              9              9              9              9              9
703              9              9              9              9              9
704              9              9              9              9              9
705              61              61              61              61              61
706              61              61              61              61              61
707              22              22              22              22              22
708              22              22              22              22              22
709              27.4              27.4              27.4              27.4              27.4
710              12              12              12              12              12
711              12              12              12              12              12
712              9              9              9              9              9
713              9              9              9              9              9
714              9              9              9              9              9
715              61              61              61              61              61
716              61              61              61              61              61
717              22              22              22              22              22
718              22              22              22              22              22
719              27.4              27.4              27.4              27.4              27.4
720              12              12              12              12              12
721              12              12              12              12              12
722              9              9              9              9              9
723              9              9              9              9              9
724              9              9              9              9              9
725              61              61              61              61              61
726              61              61              61              61              61
727              22              22              22              22              22
728              22              22              22              22              22
729              27.4              27.4              27.4              27.4              27.4
730              12              12              12              12              12
731              12              12              12              12              12
732              9              9              9              9              9
733              9              9              9              9              9
734              9              9              9              9              9
735              61              61              61              61              61
736              61              61              61              61              61
737              22              22              22              22              22
738              22              22              22              22              22
739              27.4              27.4              27.4              27.4              27.4
740              12              12              12              12              12
741              12              12              12              12              12
742              9              9              9              9              9
743              9              9              9              9              9
744              9              9              9              9              9
745              61              61              61              61              61
746              61              61              61              61              61
747              22              22              22              22              22
748              22              22              22              22              22
749              27.4              27.4              27.4              27.4              27.4
750              12              12              12              12              12
751              12              12              12              12              12
752              9              9              9              9              9
753              9              9              9              9              9
754              9              9              9              9              9
755              61              61              61              61              61
756              61              61              61              61              61
757              22              22              22              22              22
758              22              22              22              22              22
759              27.4              27.4              27.4              27.4              27.4
760              12              12              12              12              12
761              12              12              12              12              12
762              9              9              9              9              9
763              9              9              9              9              9
764              9              9              9              9              9
765              61              61              61              61              61
766              61              61              61              61              61
767              22              22              22              22              22
768              22              22              22              22              22
769              27.4              27.4              27.4              27.4              27.4
770              12              12              12              12              12
771              12              12              12              12              12
772              9              9              9              9              9
773              9              9              9              9              9
774              9              9              9              9              9
775              61              61              61              61              61
776              61              61              61              61              61
777              22              22              22              22              22
778              22              22              22              22              22
779              27.4              27.4              27.4              27.4              27.4
780              12              12              12              12              12
781              12              12              12              12              12
782              9              9              9              9              9
783              9              9              9              9              9
784              9              9              9              9              9
785              61              61              61              61              61
786              61              61              61              61              61
787              22              22              22              22              22
788              22              22              22              22              22
789              27.4              27.4              27.4              27.4              27.4
790              12              12              12              12              12
791              12              12              12              12              12
792              9              9              9              9              9
793              9              9              9              9              9
794              9              9              9              9              9
795              61              61              61              61              61
796              61              61              61              61              61
797              22              22              22              22              22
798              22              22              22              22              22
799              27.4              27.4              27.4              27.4              27.4
800              12              12              12              12              12
801              12              12              12              12              12
802              9              9              9              9              9
803              9              9              9              9              9
804              9              9              9              9              9
805              61              61              61              61              61
806              61              61              61              61              61
807              22              22              22              22              22
808              22              22              22              22              22
809              27.4              27.4              27.4              27.4              27.4
810              12              12              12              12              12
811              12              12              12              12              12
812              9              9              9              9              9
813              9              9              9              9              9
814              9              9              9              9              9
815              61              61              61              61              61
816              61              61              61              61              61
817              22              22              22              22              22
818              22              22              22              22              22
819              27.4              27.4              27.4              27.4              27.4
820              12              12              12              12              12
821              12              12              12              12              12
822              9              9              9              9              9
823              9              9              9              9              9
824              9              9              9              9              9
825              61              61              61              61              61
826              61              61              61              61              61
827              22              22              22              22              22
828              22              22              22              22              22
829              27.4              27.4              27.4              27.4              27.4
830              12              12              12              12              12
831              12              12              12              12              12
832              9              9              9              9              9
833              9              9              9              9              9
834              9              9              9              9              9
835              61              61              61              61              61
836              61              61              61              61              61
837              22              22              22              22              22
838              22              22              22              22              22
839              27.4              27.4              27.4              27.4              27.4
840              12              12              12              12              12
841              12              12              12              12              12
842              9              9              9              9              9
843              9              9              9              9              9
844              9              9              9              9              9
845              61              61              61              61              61
846              61              61              61              61              61
847              22              22              22              22              22
848              22              22              22              22              22
849              27.4              27.4              27.4              27.4              27.4
850              12              12              12              12              12
851              12              12              12              12              12
852              9              9              9              9              9
853              9              9              9              9              9
854              9              9              9              9              9
855              61              61              61              61              61
856              61              61              61              61              61
857              22              22              22              22              22
858              22              22              22              22              22
859              27.4              27.4              27.4              27.4              27.4
860              12              12              12              12              12
861              12              12              12              12              12
862              9              9              9              9              9
863              9              9              9              9              9
864              9              9              9              9              9
865              61              61              61              61              61
866              61              61              61              61              61
867              22              22              22              22              22
868              22              22              22              22              22
869              27.4              27.4              27.4              27.4              27.4
870              12              12              12              12              12
871              12              12              12              12              12
872              9              9              9              9              9
873              9              9              9              9              9
874              9              9              9              9              9
875              61              61              61              61              61
876              61              61              61              61              61
877              22              22              22              22              22
878              22              22              22              22              22
879              27.4              27.4              27.4              27.4              27.4
880              12              12              12              12              12
881              12              12              12              12              12
882              9              9              9              9              9
883              9              9              9              9              9
884              9              9              9              9              9
885              61              61              61              61              61
886              61              61              61              61              61
887              22              22              22              22              22
888              22              22              22              22              22
889              27.4              27.4              27.4              27.4              27.4
890              12              12              12              12              12
891              12              12              12              12              12
892              9              9              9              9              9
893              9              9              9              9              9
894              9              9              9              9              9
895              61              61              61              61              61
896              61              61              61              61              61
897              22              22              22              22              22
898              22              22              22              22              22
899              27.4              27.4              27.4              27.4              27.4
900              12              12              12              12              12
901              12              12              12              12              12
902              9              9              9              9              9
903              9              9              9              9              9
904              9              9              9              9              9
905              61              61              61              61              61
906              61              61              61              61              61
907              22              22              22              22              22
908              22              22              22              22              22
909              27.4              27.4              27.4              27.4              27.4
910              12              12              12              12              12
911              12              12              12              12              12
912              9              9              9              9              9
913              9              9              9              9              9
914              9              9              9              9              9
915              61              61              61              61              61
916              61              61              61              61              61
917              22              22              22              22              22
918              22              22              22              22              22
919              27.4              27.4              27.4              27.4              27.4
920              12              12              12              12              12
921              12              12              12              12              12
922              9              9              9              9              9
923              9              9              9              9              9
924              9              9              9              9              9
925              61              61              61              61              61
926              61              61              61              61              61
927              22              22              22              22              22
928              22              22              22              22              22
929              27.4              27.4              27.4              27.4              27.4
930              12              12              12              12              12
931              12              12              12              12              12
932              9              9              9              9              9
933              9              9              9              9              9
934              9              9              9              9              9
935              61              61              61              61              61
936              61              61              61              61              61
937              22              22              22              22              22
938              22              22              22              22              22
939              27.4              27.4              27.4              27.4              27.4
940              12              12              12              12              12
941              12              12              12              12              12
942              9              9              9              9              9
943              9              9              9              9              9
944              9              9              9              9              9
945              61              61              61              61              61
946              61              61              61              61              61
947              22              22              22              22              22
948              22              22              22              22              22
949              27.4              27.4              27.4              27.4              27.4
950              12              12              12              12              12
951              12              12              12              12              12
952              9              9              9              9              9
953              9              9              9              9              9
954              9              9              9              9              9
955              61              61              61              61              61
956              61              61              61              61              61
957              22              22              22              22              22
958              22              22              22              22              22
959              27.4              27.4              27.4              27.4              27.4
960              12              12              12              12              12
961              12              12              12              12              12
962              9              9              9              9              9
963              9              9              9              9              9
964              9              9              9              9              9
965              61              61              61              61              61
966              61              61              61              61              61
967              22              22              22              22              22
968              22              22              22              22              22
969              27.4              27.4              27.4              27.4              27.4
970              12              12              12              12              12
971              12              12              12              12              12
972              9              9              9              9              9
973              9              9              9              9              9
974              9              9              9              9              9
975              61              61              61              61              61
976              61              61              61              61              61
977              22              22              22              22              22
978              22              22              22              22              22
979              27.4              27.4              27.4              27.4              27.4
980              12              12              12              12              12
981              12              12              12              12              12
982              9              9              9              9              9
983              9              9              9              9              9
984              9              9              9              9              9
985              61              61              61              61              61
986              61              61              61              61              61
987              22              22              22              22              22
988              22              22              22              22              22
989              27.4              27.4              27.4              27.4              27.4
990              12              12              12              12              12
991              12              12              12              12              12
992              9              9              9              9              9
993              9              9              9              9              9
994              9              9              9              9              9
995              61              61              61              61              61
996              61              61              61              61              61
