机组序号	所在节点	最大出力(MW)	最小出力(MW)	上爬坡率(MW/h)	下爬坡率 (MW/h)	最小开机时间(h)	最小停机时间(h)	启动成本（元）	"初始状态(1开机,0停机)"	初始出力(MW)	初始状态持续时间(h)
63             142             30             12             1000             1000             1             1             340             0             0             1
64             143             300             120             1000             1000             8             8             9000             0             1             15
65             144             350             140             1000             1000             8             8             10000             0             1             16
66             145             30             12             1000             1000             1             1             340             0             0             1
67             149             30             12             1000             1000             1             1             340             0             0             1
68             150             100             40             1000             1000             5             5             1120             0             0             5
69             152             30             12             1000             1000             1             1             1800             0             0             1
70             154             100             40             1000             1000             5             5             4800             0             0             5
71             158             30             12             1000             1000             1             1             340             0             0             1
72             160             30             12             1000             1000             1             1             340             0             0             1
73             164             100             40             1000             1000             5             5             4800             0             0             5
74             167             250             100             1000             1000             10             10             9000             0             1             10
75             172             250             100             1000             1000             10             10             10000             0             0             10
76             173             100             40             1000             1000             5             5             4800             0             0             5
77             174             100             40             1000             1000             5             5             4800             0             0             5
78             177             200             80             1000             1000             10             10             9000             0             0             10
79             179             200             80             1000             1000             10             10             10000             0             0             10
80             180             100             40             1000             1000             5             5             4800             0             0             5
81             183             420             168             1000             1000             10             10             9000             0             1             20
82             184             420             168             1000             1000             10             10             10000             0             1             20
83             187             300             120             1000             1000             10             10             9000             0             0             15
84             188             80             32             1000             1000             4             4             4800             0             0             4
85             190             30             12             1000             1000             1             1             340             0             0             1
86             191             30             12             1000             1000             1             1             340             0             0             1
87             192             20             8             1000             1000             1             1             340             0             0             1
88             194             100             40             1000             1000             5             5             3800             0             0             5
89             195             100             40             1000             1000             5             5             3800             0             1             5
90             198             500             200             1000             1000             10             10             10000             0             1             24
91             200             100             40             1000             1000             5             5             3800             0             0             5
92             203             30             12             1000             1000             1             1             340             0             0             1
93             205             650             260             1000             1000             10             10             10000             0             1             24
94             207             500             200             1000             1000             10             10             10000             0             1             24
95             208             20             8             1000             1000             1             1             340             0             0             1
96             209             50             20             1000             1000             1             1             340             0             0             1
97             210             300             120             1000             1000             8             8             1120             0             1             15
98             217             300             120             1000             1000             8             8             1800             0             1             15
99             218             300             120             1000             1000             8             8             1800             0             1             15
100             221             20             8             1000             1000             1             1             340             0             0             1
101             222             100             40             1000             1000             5             5             3800             0             0             5
102             223             100             40             1000             1000             5             5             3800             0             0             5
103             225             20             8             1000             1000             1             1             340             0             0             1
104             228             50             20             1000             1000             2             2             60             0             0             2
105             229             100             40             1000             1000             5             5             3800             0             0             5
106             230             100             40             1000             1000             5             5             3800             0             0             5
107             231             100             40             1000             1000             5             5             3800             0             0             5
108             234             100             40             1000             1000             2             2             60             0             0             2
109             240             30             12             1000             1000             1             1             60             1             0             1
110             242             30             12             1000             1000             1             1             60             1             0             1
111             244             30             12             1000             1000             1             1             60             0             0             1
112             246             500             200             1000             1000             10             10             9000             0             1             24
113             248             300             120             1000             1000             10             10             10000             0             1             24
114             251             30             12             1000             1000             1             1             340             0             0             1
115             254             100             40             1000             1000             5             5             520             0             0             5
116             255             30             12             1000             1000             1             1             340             0             0             1
117             260             30             12             1000             1000             1             1             340             0             0             1
118             261             300             120             1000             1000             8             8             9000             0             1             15
119             262             350             140             1000             1000             8             8             10000             0             1             16
120             263             30             12             1000             1000             1             1             340             0             0             1
121             267             30             12             1000             1000             1             1             340             0             0             1
122             268             100             40             1000             1000             5             5             1120             0             0             5
123             270             30             12             1000             1000             1             1             1800             0             0             1
124             272             100             40             1000             1000             5             5             4800             0             0             5
125             276             30             12             1000             1000             1             1             340             0             0             1
126             278             30             12             1000             1000             1             1             340             0             0             1
127             282             100             40             1000             1000             5             5             4800             0             0             5
128             285             250             100             1000             1000             10             10             9000             0             1             10
129             290             250             100             1000             1000             10             10             10000             0             0             10
130             291             100             40             1000             1000             5             5             4800             0             0             5
131             292             100             40             1000             1000             5             5             4800             0             0             5
132             295             200             80             1000             1000             10             10             9000             0             0             10
133             297             200             80             1000             1000             10             10             10000             0             0             10
134             298             100             40             1000             1000             5             5             4800             0             0             5
135             301             420             168             1000             1000             10             10             9000             0             1             20
136             302             420             168             1000             1000             10             10             10000             0             1             20
137             305             300             120             1000             1000             10             10             9000             0             0             15
138             306             80             32             1000             1000             4             4             4800             0             0             4
139             308             30             12             1000             1000             1             1             340             0             0             1
140             309             30             12             1000             1000             1             1             340             0             0             1
141             310             20             8             1000             1000             1             1             340             0             0             1
142             312             100             40             1000             1000             5             5             3800             0             0             5
143             313             100             40             1000             1000             5             5             3800             0             1             5
144             316             500             200             1000             1000             10             10             10000             0             1             24
145             318             100             40             1000             1000             5             5             3800             0             0             5
146             321             30             12             1000             1000             1             1             340             0             0             1
147             323             650             260             1000             1000             10             10             10000             0             1             24
148             325             500             200             1000             1000             10             10             10000             0             1             24
149             326             20             8             1000             1000             1             1             340             0             0             1
150             327             50             20             1000             1000             1             1             340             0             0             1
151             328             300             120             1000             1000             8             8             1120             0             1             15
152             335             300             120             1000             1000             8             8             1800             0             1             15
153             336             300             120             1000             1000             8             8             1800             0             1             15
154             339             20             8             1000             1000             1             1             340             0             0             1
155             340             100             40             1000             1000             5             5             3800             0             0             5
156             341             100             40             1000             1000             5             5             3800             0             0             5
157             343             20             8             1000             1000             1             1             340             0             0             1
158             346             50             20             1000             1000             2             2             60             0             0             2
159             347             100             40             1000             1000             5             5             3800             0             0             5
160             348             100             40             1000             1000             5             5             3800             0             0             5
161             349             100             40             1000             1000             5             5             3800             0             0             5
162             352             100             40             1000             1000             2             2             60             0             0             2
163             358             30             12             1000             1000             1             1             60             1             0             1
164             360             30             12             1000             1000             1             1             60             1             0             1
165             362             30             12             1000             1000             1             1             60             0             0             1
166             364             500             200             1000             1000             10             10             9000             0             1             24
167             366             300             120             1000             1000             10             10             10000             0             1             24
168             369             30             12             1000             1000             1             1             340             0             0             1
169             372             100             40             1000             1000             5             5             520             0             0             5
170             373             30             12             1000             1000             1             1             340             0             0             1
171             378             30             12             1000             1000             1             1             340             0             0             1
172             379             300             120             1000             1000             8             8             9000             0             1             15
173             380             350             140             1000             1000             8             8             10000             0             1             16
174             381             30             12             1000             1000             1             1             340             0             0             1
175             385             30             12             1000             1000             1             1             340             0             0             1
176             386             100             40             1000             1000             5             5             1120             0             0             5
177             388             30             12             1000             1000             1             1             1800             0             0             1
178             390             100             40             1000             1000             5             5             4800             0             0             5
179             394             30             12             1000             1000             1             1             340             0             0             1
180             396             30             12             1000             1000             1             1             340             0             0             1
181             400             100             40             1000             1000             5             5             4800             0             0             5
182             403             250             100             1000             1000             10             10             9000             0             1             10
183             408             250             100             1000             1000             10             10             10000             0             0             10
184             409             100             40             1000             1000             5             5             4800             0             0             5
185             410             100             40             1000             1000             5             5             4800             0             0             5
186             413             200             80             1000             1000             10             10             9000             0             0             10
187             415             200             80             1000             1000             10             10             10000             0             0             10
188             416             100             40             1000             1000             5             5             4800             0             0             5
189             419             420             168             1000             1000             10             10             9000             0             1             20
190             420             420             168             1000             1000             10             10             10000             0             1             20
191             423             300             120             1000             1000             10             10             9000             0             0             15
192             424             80             32             1000             1000             4             4             4800             0             0             4
193             426             30             12             1000             1000             1             1             340             0             0             1
194             427             30             12             1000             1000             1             1             340             0             0             1
195             428             20             8             1000             1000             1             1             340             0             0             1
196             430             100             40             1000             1000             5             5             3800             0             0             5
197             431             100             40             1000             1000             5             5             3800             0             1             5
198             434             500             200             1000             1000             10             10             10000             0             1             24
199             436             100             40             1000             1000             5             5             3800             0             0             5
200             439             30             12             1000             1000             1             1             340             0             0             1
201             441             650             260             1000             1000             10             10             10000             0             1             24
202             443             500             200             1000             1000             10             10             10000             0             1             24
203             444             20             8             1000             1000             1             1             340             0             0             1
204             445             50             20             1000             1000             1             1             340             0             0             1
205             446             300             120             1000             1000             8             8             1120             0             1             15
206             453             300             120             1000             1000             8             8             1800             0             1             15
207             454             300             120             1000             1000             8             8             1800             0             1             15
208             457             20             8             1000             1000             1             1             340             0             0             1
209             458             100             40             1000             1000             5             5             3800             0             0             5
210             459             100             40             1000             1000             5             5             3800             0             0             5
211             461             20             8             1000             1000             1             1             340             0             0             1
212             464             50             20             1000             1000             2             2             60             0             0             2
213             465             100             40             1000             1000             5             5             3800             0             0             5
214             466             100             40             1000             1000             5             5             3800             0             0             5
215             467             100             40             1000             1000             5             5             3800             0             0             5
216             470             100             40             1000             1000             2             2             60             0             0             2
217             502             455             150             70             70             8             8             9000             0             0             8
218             503             455             150             60             60             8             8             10000             0             0             8
219             504             130             20             70             70             5             5             1100             0             0             5
220             505             130             20             70             70             5             5             1120             0             0             5
221             506             162             25             60             60             6             6             1800             0             0             6
222             507             80             20             70             70             3             3             340             0             0             3
223             508             85             25             70             70             3             3             520             0             0             3
224             509             55             10             60             60             1             1             60             0             0             1
225             510             55             10             60             60             1             1             60             0             0             1
226             511             55             10             60             60             1             1             60             0             0             1
227             541             455             150             70             70             8             8             9000             0             0             8
228             542             455             150             60             60             8             8             10000             0             0             8
229             543             130             20             70             70             5             5             1100             0             0             5
230             544             130             20             70             70             5             5             1120             0             0             5
231             545             162             25             60             60             6             6             1800             0             0             6
232             546             80             20             70             70             3             3             340             0             0             3
233             547             85             25             70             70             3             3             520             0             0             3
234             548             55             10             60             60             1             1             60             0             0             1
235             549             55             10             60             60             1             1             60             0             0             1
236             550             55             10             60             60             1             1             60             0             0             1
237             580             455             150             70             70             8             8             9000             0             0             8
238             581             455             150             60             60             8             8             10000             0             0             8
239             582             130             20             70             70             5             5             1100             0             0             5
240             583             130             20             70             70             5             5             1120             0             0             5
241             584             162             25             60             60             6             6             1800             0             0             6
242             585             80             20             70             70             3             3             340             0             0             3
243             586             85             25             70             70             3             3             520             0             0             3
244             587             55             10             60             60             1             1             60             0             0             1
245             588             55             10             60             60             1             1             60             0             0             1
246             589             55             10             60             60             1             1             60             0             0             1
247             619             455             150             70             70             8             8             9000             0             0             8
248             620             455             150             60             60             8             8             10000             0             0             8
249             621             130             20             70             70             5             5             1100             0             0             5
250             622             130             20             70             70             5             5             1120             0             0             5
251             623             162             25             60             60             6             6             1800             0             0             6
252             624             80             20             70             70             3             3             340             0             0             3
253             625             85             25             70             70             3             3             520             0             0             3
254             626             55             10             60             60             1             1             60             0             0             1
255             627             55             10             60             60             1             1             60             0             0             1
256             628             55             10             60             60             1             1             60             0             0             1
257             658             455             150             70             70             8             8             9000             0             0             8
258             659             455             150             60             60             8             8             10000             0             0             8
259             660             130             20             70             70             5             5             1100             0             0             5
260             661             130             20             70             70             5             5             1120             0             0             5
261             662             162             25             60             60             6             6             1800             0             0             6
262             663             80             20             70             70             3             3             340             0             0             3
263             664             85             25             70             70             3             3             520             0             0             3
264             665             55             10             60             60             1             1             60             0             0             1
265             666             55             10             60             60             1             1             60             0             0             1
266             667             55             10             60             60             1             1             60             0             0             1
267             697             455             150             70             70             8             8             9000             0             0             8
268             698             455             150             60             60             8             8             10000             0             0             8
269             699             130             20             70             70             5             5             1100             0             0             5
270             700             130             20             70             70             5             5             1120             0             0             5
271             701             162             25             60             60             6             6             1800             0             0             6
272             702             80             20             70             70             3             3             340             0             0             3
273             703             85             25             70             70             3             3             520             0             0             3
274             704             55             10             60             60             1             1             60             0             0             1
275             705             55             10             60             60             1             1             60             0             0             1
276             706             55             10             60             60             1             1             60             0             0             1
277             736             455             150             70             70             8             8             9000             0             0             8
278             737             455             150             60             60             8             8             10000             0             0             8
279             738             130             20             70             70             5             5             1100             0             0             5
280             739             130             20             70             70             5             5             1120             0             0             5
281             740             162             25             60             60             6             6             1800             0             0             6
282             741             80             20             70             70             3             3             340             0             0             3
283             742             85             25             70             70             3             3             520             0             0             3
284             743             55             10             60             60             1             1             60             0             0             1
285             744             55             10             60             60             1             1             60             0             0             1
286             745             55             10             60             60             1             1             60             0             0             1
287             775             455             150             70             70             8             8             9000             0             0             8
288             776             455             150             60             60             8             8             10000             0             0             8
289             777             130             20             70             70             5             5             1100             0             0             5
290             778             130             20             70             70             5             5             1120             0             0             5
291             779             162             25             60             60             6             6             1800             0             0             6
292             780             80             20             70             70             3             3             340             0             0             3
293             781             85             25             70             70             3             3             520             0             0             3
294             782             55             10             60             60             1             1             60             0             0             1
295             783             55             10             60             60             1             1             60             0             0             1
296             784             55             10             60             60             1             1             60             0             0             1
297             814             455             150             70             70             8             8             9000             0             0             8
298             815             455             150             60             60             8             8             10000             0             0             8
299             816             130             20             70             70             5             5             1100             0             0             5
300             817             130             20             70             70             5             5             1120             0             0             5
301             818             162             25             60             60             6             6             1800             0             0             6
302             819             80             20             70             70             3             3             340             0             0             3
303             820             85             25             70             70             3             3             520             0             0             3
304             821             55             10             60             60             1             1             60             0             0             1
305             822             55             10             60             60             1             1             60             0             0             1
306             823             55             10             60             60             1             1             60             0             0             1
307             853             455             150             70             70             8             8             9000             0             0             8
308             854             455             150             60             60             8             8             10000             0             0             8
309             855             130             20             70             70             5             5             1100             0             0             5
310             856             130             20             70             70             5             5             1120             0             0             5
311             857             162             25             60             60             6             6             1800             0             0             6
312             858             80             20             70             70             3             3             340             0             0             3
313             859             85             25             70             70             3             3             520             0             0             3
314             860             55             10             60             60             1             1             60             0             0             1
315             861             55             10             60             60             1             1             60             0             0             1
316             862             55             10             60             60             1             1             60             0             0             1
317             892             455             150             70             70             8             8             9000             0             0             8
318             893             455             150             60             60             8             8             10000             0             0             8
319             894             130             20             70             70             5             5             1100             0             0             5
320             895             130             20             70             70             5             5             1120             0             0             5
321             896             162             25             60             60             6             6             1800             0             0             6
322             897             80             20             70             70             3             3             340             0             0             3
323             898             85             25             70             70             3             3             520             0             0             3
324             899             55             10             60             60             1             1             60             0             0             1
325             900             55             10             60             60             1             1             60             0             0             1
326             901             55             10             60             60             1             1             60             0             0             1
327             931             455             150             70             70             8             8             9000             0             0             8
328             932             455             150             60             60             8             8             10000             0             0             8
329             933             130             20             70             70             5             5             1100             0             0             5
330             934             130             20             70             70             5             5             1120             0             0             5
331             935             162             25             60             60             6             6             1800             0             0             6
332             936             80             20             70             70             3             3             340             0             0             3
333             937             85             25             70             70             3             3             520             0             0             3
334             938             55             10             60             60             1             1             60             0             0             1
335             939             55             10             60             60             1             1             60             0             0             1
336             940             55             10             60             60             1             1             60             0             0             1
337             970             455             150             70             70             8             8             9000             0             0             8
338             971             455             150             60             60             8             8             10000             0             0             8
339             972             130             20             70             70             5             5             1100             0             0             5
340             973             130             20             70             70             5             5             1120             0             0             5
341             974             162             25             60             60             6             6             1800             0             0             6
342             975             80             20             70             70             3             3             340             0             0             3
343             976             85             25             70             70             3             3             520             0             0             3
344             977             55             10             60             60             1             1             60             0             0             1
345             978             55             10             60             60             1             1             60             0             0             1
346             979             55             10             60             60             1             1             60             0             0             1
347             1009             455             150             70             70             8             8             9000             0             0             8
348             1010             455             150             60             60             8             8             10000             0             0             8
349             1011             130             20             70             70             5             5             1100             0             0             5
350             1012             130             20             70             70             5             5             1120             0             0             5
351             1013             162             25             60             60             6             6             1800             0             0             6
352             1014             80             20             70             70             3             3             340             0             0             3
353             1015             85             25             70             70             3             3             520             0             0             3
354             1016             55             10             60             60             1             1             60             0             0             1
355             1017             55             10             60             60             1             1             60             0             0             1
356             1018             55             10             60             60             1             1             60             0             0             1
357             1048             455             150             70             70             8             8             9000             0             0             8
358             1049             455             150             60             60             8             8             10000             0             0             8
359             1050             130             20             70             70             5             5             1100             0             0             5
360             1051             130             20             70             70             5             5             1120             0             0             5
361             1052             162             25             60             60             6             6             1800             0             0             6
362             1053             80             20             70             70             3             3             340             0             0             3
363             1054             85             25             70             70             3             3             520             0             0             3
364             1055             55             10             60             60             1             1             60             0             0             1
365             1056             55             10             60             60             1             1             60             0             0             1
366             1057             55             10             60             60             1             1             60             0             0             1
367             1087             455             150             70             70             8             8             9000             0             0             8
368             1088             455             150             60             60             8             8             10000             0             0             8
369             1089             130             20             70             70             5             5             1100             0             0             5
370             1090             130             20             70             70             5             5             1120             0             0             5
371             1091             162             25             60             60             6             6             1800             0             0             6
372             1092             80             20             70             70             3             3             340             0             0             3
373             1093             85             25             70             70             3             3             520             0             0             3
374             1094             55             10             60             60             1             1             60             0             0             1
375             1095             55             10             60             60             1             1             60             0             0             1
376             1096             55             10             60             60             1             1             60             0             0             1
377             1126             455             150             70             70             8             8             9000             0             0             8
378             1127             455             150             60             60             8             8             10000             0             0             8
379             1128             130             20             70             70             5             5             1100             0             0             5
380             1129             130             20             70             70             5             5             1120             0             0             5
381             1130             162             25             60             60             6             6             1800             0             0             6
382             1131             80             20             70             70             3             3             340             0             0             3
383             1132             85             25             70             70             3             3             520             0             0             3
384             1133             55             10             60             60             1             1             60             0             0             1
385             1134             55             10             60             60             1             1             60             0             0             1
386             1135             55             10             60             60             1             1             60             0             0             1
387             1165             455             150             70             70             8             8             9000             0             0             8
388             1166             455             150             60             60             8             8             10000             0             0             8
389             1167             130             20             70             70             5             5             1100             0             0             5
390             1168             130             20             70             70             5             5             1120             0             0             5
391             1169             162             25             60             60             6             6             1800             0             0             6
392             1170             80             20             70             70             3             3             340             0             0             3
393             1171             85             25             70             70             3             3             520             0             0             3
394             1172             55             10             60             60             1             1             60             0             0             1
395             1173             55             10             60             60             1             1             60             0             0             1
396             1174             55             10             60             60             1             1             60             0             0             1
397             1204             455             150             70             70             8             8             9000             0             0             8
398             1205             455             150             60             60             8             8             10000             0             0             8
399             1206             130             20             70             70             5             5             1100             0             0             5
400             1207             130             20             70             70             5             5             1120             0             0             5
401             1208             162             25             60             60             6             6             1800             0             0             6
402             1209             80             20             70             70             3             3             340             0             0             3
403             1210             85             25             70             70             3             3             520             0             0             3
404             1211             55             10             60             60             1             1             60             0             0             1
405             1212             55             10             60             60             1             1             60             0             0             1
406             1213             55             10             60             60             1             1             60             0             0             1
407             1243             455             150             70             70             8             8             9000             0             0             8
408             1244             455             150             60             60             8             8             10000             0             0             8
409             1245             130             20             70             70             5             5             1100             0             0             5
410             1246             130             20             70             70             5             5             1120             0             0             5
411             1247             162             25             60             60             6             6             1800             0             0             6
412             1248             80             20             70             70             3             3             340             0             0             3
413             1249             85             25             70             70             3             3             520             0             0             3
414             1250             55             10             60             60             1             1             60             0             0             1
415             1251             55             10             60             60             1             1             60             0             0             1
416             1252             55             10             60             60             1             1             60             0             0             1
