机组序号	第一段功率(MW)	第二段功率(MW)	第三段功率(MW)	第四段功率(MW)	第五段功率(MW)
546              9              9              9              9              9
547              9              9              9              9              9
548              9              9              9              9              9
549              61              61              61              61              61
550              61              61              61              61              61
551              22              22              22              22              22
552              22              22              22              22              22
553              27.4              27.4              27.4              27.4              27.4
554              12              12              12              12              12
555              12              12              12              12              12
556              9              9              9              9              9
557              9              9              9              9              9
558              9              9              9              9              9
559              61              61              61              61              61
560              61              61              61              61              61
561              22              22              22              22              22
562              22              22              22              22              22
563              27.4              27.4              27.4              27.4              27.4
564              12              12              12              12              12
565              12              12              12              12              12
566              9              9              9              9              9
567              9              9              9              9              9
568              9              9              9              9              9
569              61              61              61              61              61
570              61              61              61              61              61
571              22              22              22              22              22
572              22              22              22              22              22
573              27.4              27.4              27.4              27.4              27.4
574              12              12              12              12              12
575              12              12              12              12              12
576              9              9              9              9              9
577              9              9              9              9              9
578              9              9              9              9              9
579              61              61              61              61              61
580              61              61              61              61              61
581              22              22              22              22              22
582              22              22              22              22              22
583              27.4              27.4              27.4              27.4              27.4
584              12              12              12              12              12
585              12              12              12              12              12
586              9              9              9              9              9
587              9              9              9              9              9
588              9              9              9              9              9
589              61              61              61              61              61
590              61              61              61              61              61
591              22              22              22              22              22
592              22              22              22              22              22
593              27.4              27.4              27.4              27.4              27.4
594              12              12              12              12              12
595              12              12              12              12              12
596              9              9              9              9              9
597              9              9              9              9              9
598              9              9              9              9              9
599              61              61              61              61              61
600              61              61              61              61              61
601              22              22              22              22              22
602              22              22              22              22              22
603              27.4              27.4              27.4              27.4              27.4
604              12              12              12              12              12
605              12              12              12              12              12
606              9              9              9              9              9
607              9              9              9              9              9
608              9              9              9              9              9
609              61              61              61              61              61
610              61              61              61              61              61
611              22              22              22              22              22
612              22              22              22              22              22
613              27.4              27.4              27.4              27.4              27.4
614              12              12              12              12              12
615              12              12              12              12              12
616              9              9              9              9              9
617              9              9              9              9              9
618              9              9              9              9              9
619              61              61              61              61              61
620              61              61              61              61              61
621              22              22              22              22              22
622              22              22              22              22              22
623              27.4              27.4              27.4              27.4              27.4
624              12              12              12              12              12
625              12              12              12              12              12
626              9              9              9              9              9
627              9              9              9              9              9
628              9              9              9              9              9
629              61              61              61              61              61
630              61              61              61              61              61
631              22              22              22              22              22
632              22              22              22              22              22
633              27.4              27.4              27.4              27.4              27.4
634              12              12              12              12              12
635              12              12              12              12              12
636              9              9              9              9              9
637              9              9              9              9              9
638              9              9              9              9              9
639              61              61              61              61              61
640              61              61              61              61              61
641              22              22              22              22              22
642              22              22              22              22              22
643              27.4              27.4              27.4              27.4              27.4
644              12              12              12              12              12
645              12              12              12              12              12
646              9              9              9              9              9
647              9              9              9              9              9
648              9              9              9              9              9
649              61              61              61              61              61
650              61              61              61              61              61
651              22              22              22              22              22
652              22              22              22              22              22
653              27.4              27.4              27.4              27.4              27.4
654              12              12              12              12              12
655              12              12              12              12              12
656              9              9              9              9              9
657              9              9              9              9              9
658              9              9              9              9              9
659              61              61              61              61              61
660              61              61              61              61              61
661              22              22              22              22              22
662              22              22              22              22              22
663              27.4              27.4              27.4              27.4              27.4
664              12              12              12              12              12
665              12              12              12              12              12
666              9              9              9              9              9
667              9              9              9              9              9
668              9              9              9              9              9
669              61              61              61              61              61
670              61              61              61              61              61
671              22              22              22              22              22
672              22              22              22              22              22
673              27.4              27.4              27.4              27.4              27.4
674              12              12              12              12              12
675              12              12              12              12              12
676              9              9              9              9              9
677              9              9              9              9              9
678              9              9              9              9              9
679              61              61              61              61              61
680              61              61              61              61              61
681              22              22              22              22              22
682              22              22              22              22              22
683              27.4              27.4              27.4              27.4              27.4
684              12              12              12              12              12
685              12              12              12              12              12
686              9              9              9              9              9
687              9              9              9              9              9
688              9              9              9              9              9
689              61              61              61              61              61
690              61              61              61              61              61
691              22              22              22              22              22
692              22              22              22              22              22
693              27.4              27.4              27.4              27.4              27.4
694              12              12              12              12              12
695              12              12              12              12              12
696              9              9              9              9              9
697              9              9              9              9              9
698              9              9              9              9              9
699              61              61              61              61              61
700              61              61              61              61              61
701              22              22              22              22              22
702              22              22              22              22              22
703              27.4              27.4              27.4              27.4              27.4
704              12              12              12              12              12
705              12              12              12              12              12
706              9              9              9              9              9
707              9              9              9              9              9
708              9              9              9              9              9
709              61              61              61              61              61
710              61              61              61              61              61
711              22              22              22              22              22
712              22              22              22              22              22
713              27.4              27.4              27.4              27.4              27.4
714              12              12              12              12              12
715              12              12              12              12              12
716              9              9              9              9              9
717              9              9              9              9              9
718              9              9              9              9              9
719              61              61              61              61              61
720              61              61              61              61              61
721              22              22              22              22              22
722              22              22              22              22              22
723              27.4              27.4              27.4              27.4              27.4
724              12              12              12              12              12
725              12              12              12              12              12
726              9              9              9              9              9
727              9              9              9              9              9
728              9              9              9              9              9
729              61              61              61              61              61
730              61              61              61              61              61
731              22              22              22              22              22
732              22              22              22              22              22
733              27.4              27.4              27.4              27.4              27.4
734              12              12              12              12              12
735              12              12              12              12              12
736              9              9              9              9              9
737              9              9              9              9              9
738              9              9              9              9              9
739              61              61              61              61              61
740              61              61              61              61              61
741              22              22              22              22              22
742              22              22              22              22              22
743              27.4              27.4              27.4              27.4              27.4
744              12              12              12              12              12
745              12              12              12              12              12
746              9              9              9              9              9
747              9              9              9              9              9
748              9              9              9              9              9
749              61              61              61              61              61
750              61              61              61              61              61
751              22              22              22              22              22
752              22              22              22              22              22
753              27.4              27.4              27.4              27.4              27.4
754              12              12              12              12              12
755              12              12              12              12              12
756              9              9              9              9              9
757              9              9              9              9              9
758              9              9              9              9              9
759              61              61              61              61              61
760              61              61              61              61              61
761              22              22              22              22              22
762              22              22              22              22              22
763              27.4              27.4              27.4              27.4              27.4
764              12              12              12              12              12
765              12              12              12              12              12
766              9              9              9              9              9
767              9              9              9              9              9
768              9              9              9              9              9
769              61              61              61              61              61
770              61              61              61              61              61
771              22              22              22              22              22
772              22              22              22              22              22
773              27.4              27.4              27.4              27.4              27.4
774              12              12              12              12              12
775              12              12              12              12              12
776              9              9              9              9              9
777              9              9              9              9              9
778              9              9              9              9              9
779              61              61              61              61              61
780              61              61              61              61              61
781              22              22              22              22              22
782              22              22              22              22              22
783              27.4              27.4              27.4              27.4              27.4
784              12              12              12              12              12
785              12              12              12              12              12
786              9              9              9              9              9
787              9              9              9              9              9
788              9              9              9              9              9
789              61              61              61              61              61
790              61              61              61              61              61
791              22              22              22              22              22
792              22              22              22              22              22
793              27.4              27.4              27.4              27.4              27.4
794              12              12              12              12              12
795              12              12              12              12              12
796              9              9              9              9              9
797              9              9              9              9              9
798              9              9              9              9              9
799              61              61              61              61              61
800              61              61              61              61              61
801              22              22              22              22              22
802              22              22              22              22              22
803              27.4              27.4              27.4              27.4              27.4
804              12              12              12              12              12
805              12              12              12              12              12
806              9              9              9              9              9
807              9              9              9              9              9
808              9              9              9              9              9
