机组序号	所在节点	最大出力(MW)	最小出力(MW)	上爬坡率(MW/h)	下爬坡率 (MW/h)	最小开机时间(h)	最小停机时间(h)	启动成本（元）	"初始状态(1开机,0停机)"	初始出力(MW)	初始状态持续时间(h)
50             195             55             10             60             60             1             1             60             0             0             1
51             225             455             150             70             70             8             8             9000             0             0             8
52             226             455             150             60             60             8             8             10000             0             0             8
53             227             130             20             70             70             5             5             1100             0             0             5
54             228             130             20             70             70             5             5             1120             0             0             5
55             229             162             25             60             60             6             6             1800             0             0             6
56             230             80             20             70             70             3             3             340             0             0             3
57             231             85             25             70             70             3             3             520             0             0             3
58             232             55             10             60             60             1             1             60             0             0             1
59             233             55             10             60             60             1             1             60             0             0             1
60             234             55             10             60             60             1             1             60             0             0             1
61             264             455             150             70             70             8             8             9000             0             0             8
62             265             455             150             60             60             8             8             10000             0             0             8
63             266             130             20             70             70             5             5             1100             0             0             5
64             267             130             20             70             70             5             5             1120             0             0             5
65             268             162             25             60             60             6             6             1800             0             0             6
66             269             80             20             70             70             3             3             340             0             0             3
67             270             85             25             70             70             3             3             520             0             0             3
68             271             55             10             60             60             1             1             60             0             0             1
69             272             55             10             60             60             1             1             60             0             0             1
70             273             55             10             60             60             1             1             60             0             0             1
71             303             455             150             70             70             8             8             9000             0             0             8
72             304             455             150             60             60             8             8             10000             0             0             8
73             305             130             20             70             70             5             5             1100             0             0             5
74             306             130             20             70             70             5             5             1120             0             0             5
75             307             162             25             60             60             6             6             1800             0             0             6
76             308             80             20             70             70             3             3             340             0             0             3
77             309             85             25             70             70             3             3             520             0             0             3
78             310             55             10             60             60             1             1             60             0             0             1
79             311             55             10             60             60             1             1             60             0             0             1
80             312             55             10             60             60             1             1             60             0             0             1
81             342             455             150             70             70             8             8             9000             0             0             8
82             343             455             150             60             60             8             8             10000             0             0             8
83             344             130             20             70             70             5             5             1100             0             0             5
84             345             130             20             70             70             5             5             1120             0             0             5
85             346             162             25             60             60             6             6             1800             0             0             6
86             347             80             20             70             70             3             3             340             0             0             3
87             348             85             25             70             70             3             3             520             0             0             3
88             349             55             10             60             60             1             1             60             0             0             1
89             350             55             10             60             60             1             1             60             0             0             1
90             351             55             10             60             60             1             1             60             0             0             1
91             381             455             150             70             70             8             8             9000             0             0             8
92             382             455             150             60             60             8             8             10000             0             0             8
93             383             130             20             70             70             5             5             1100             0             0             5
94             384             130             20             70             70             5             5             1120             0             0             5
95             385             162             25             60             60             6             6             1800             0             0             6
96             386             80             20             70             70             3             3             340             0             0             3
97             387             85             25             70             70             3             3             520             0             0             3
98             388             55             10             60             60             1             1             60             0             0             1
99             389             55             10             60             60             1             1             60             0             0             1
100             390             55             10             60             60             1             1             60             0             0             1
101             420             455             150             70             70             8             8             9000             0             0             8
102             421             455             150             60             60             8             8             10000             0             0             8
103             422             130             20             70             70             5             5             1100             0             0             5
104             423             130             20             70             70             5             5             1120             0             0             5
105             424             162             25             60             60             6             6             1800             0             0             6
106             425             80             20             70             70             3             3             340             0             0             3
107             426             85             25             70             70             3             3             520             0             0             3
108             427             55             10             60             60             1             1             60             0             0             1
109             428             55             10             60             60             1             1             60             0             0             1
110             429             55             10             60             60             1             1             60             0             0             1
111             459             455             150             70             70             8             8             9000             0             0             8
112             460             455             150             60             60             8             8             10000             0             0             8
113             461             130             20             70             70             5             5             1100             0             0             5
114             462             130             20             70             70             5             5             1120             0             0             5
115             463             162             25             60             60             6             6             1800             0             0             6
116             464             80             20             70             70             3             3             340             0             0             3
117             465             85             25             70             70             3             3             520             0             0             3
118             466             55             10             60             60             1             1             60             0             0             1
119             467             55             10             60             60             1             1             60             0             0             1
120             468             55             10             60             60             1             1             60             0             0             1
121             498             455             150             70             70             8             8             9000             0             0             8
122             499             455             150             60             60             8             8             10000             0             0             8
123             500             130             20             70             70             5             5             1100             0             0             5
124             501             130             20             70             70             5             5             1120             0             0             5
125             502             162             25             60             60             6             6             1800             0             0             6
126             503             80             20             70             70             3             3             340             0             0             3
127             504             85             25             70             70             3             3             520             0             0             3
128             505             55             10             60             60             1             1             60             0             0             1
129             506             55             10             60             60             1             1             60             0             0             1
130             507             55             10             60             60             1             1             60             0             0             1
131             537             455             150             70             70             8             8             9000             0             0             8
132             538             455             150             60             60             8             8             10000             0             0             8
133             539             130             20             70             70             5             5             1100             0             0             5
134             540             130             20             70             70             5             5             1120             0             0             5
135             541             162             25             60             60             6             6             1800             0             0             6
136             542             80             20             70             70             3             3             340             0             0             3
137             543             85             25             70             70             3             3             520             0             0             3
138             544             55             10             60             60             1             1             60             0             0             1
139             545             55             10             60             60             1             1             60             0             0             1
140             546             55             10             60             60             1             1             60             0             0             1
141             576             455             150             70             70             8             8             9000             0             0             8
142             577             455             150             60             60             8             8             10000             0             0             8
143             578             130             20             70             70             5             5             1100             0             0             5
144             579             130             20             70             70             5             5             1120             0             0             5
145             580             162             25             60             60             6             6             1800             0             0             6
146             581             80             20             70             70             3             3             340             0             0             3
147             582             85             25             70             70             3             3             520             0             0             3
148             583             55             10             60             60             1             1             60             0             0             1
149             584             55             10             60             60             1             1             60             0             0             1
150             585             55             10             60             60             1             1             60             0             0             1
151             615             455             150             70             70             8             8             9000             0             0             8
152             616             455             150             60             60             8             8             10000             0             0             8
153             617             130             20             70             70             5             5             1100             0             0             5
154             618             130             20             70             70             5             5             1120             0             0             5
155             619             162             25             60             60             6             6             1800             0             0             6
156             620             80             20             70             70             3             3             340             0             0             3
157             621             85             25             70             70             3             3             520             0             0             3
158             622             55             10             60             60             1             1             60             0             0             1
159             623             55             10             60             60             1             1             60             0             0             1
160             624             55             10             60             60             1             1             60             0             0             1
161             654             455             150             70             70             8             8             9000             0             0             8
162             655             455             150             60             60             8             8             10000             0             0             8
163             656             130             20             70             70             5             5             1100             0             0             5
164             657             130             20             70             70             5             5             1120             0             0             5
165             658             162             25             60             60             6             6             1800             0             0             6
166             659             80             20             70             70             3             3             340             0             0             3
167             660             85             25             70             70             3             3             520             0             0             3
168             661             55             10             60             60             1             1             60             0             0             1
169             662             55             10             60             60             1             1             60             0             0             1
170             663             55             10             60             60             1             1             60             0             0             1
171             693             455             150             70             70             8             8             9000             0             0             8
172             694             455             150             60             60             8             8             10000             0             0             8
173             695             130             20             70             70             5             5             1100             0             0             5
174             696             130             20             70             70             5             5             1120             0             0             5
175             697             162             25             60             60             6             6             1800             0             0             6
176             698             80             20             70             70             3             3             340             0             0             3
177             699             85             25             70             70             3             3             520             0             0             3
178             700             55             10             60             60             1             1             60             0             0             1
179             701             55             10             60             60             1             1             60             0             0             1
180             702             55             10             60             60             1             1             60             0             0             1
181             732             455             150             70             70             8             8             9000             0             0             8
182             733             455             150             60             60             8             8             10000             0             0             8
183             734             130             20             70             70             5             5             1100             0             0             5
184             735             130             20             70             70             5             5             1120             0             0             5
185             736             162             25             60             60             6             6             1800             0             0             6
186             737             80             20             70             70             3             3             340             0             0             3
187             738             85             25             70             70             3             3             520             0             0             3
188             739             55             10             60             60             1             1             60             0             0             1
189             740             55             10             60             60             1             1             60             0             0             1
190             741             55             10             60             60             1             1             60             0             0             1
191             771             455             150             70             70             8             8             9000             0             0             8
192             772             455             150             60             60             8             8             10000             0             0             8
193             773             130             20             70             70             5             5             1100             0             0             5
194             774             130             20             70             70             5             5             1120             0             0             5
195             775             162             25             60             60             6             6             1800             0             0             6
196             776             80             20             70             70             3             3             340             0             0             3
197             777             85             25             70             70             3             3             520             0             0             3
198             778             55             10             60             60             1             1             60             0             0             1
199             779             55             10             60             60             1             1             60             0             0             1
200             780             55             10             60             60             1             1             60             0             0             1
